metric,value,unit,source,context,applies_to
cto_pilot_failure_rate,89,percent,"2026 Final Round AI CTO Council Survey","16 of 18 CTOs reported a production disaster traceable to vibe coding workflows","CTOs running AI coding pilots"
failures_governance_vs_code,81,percent,"2026 Final Round AI CTO Council Survey","Of 16 CTO failures: 13 were governance failures; only 3 were caused by genuinely insecure AI code","CTO vibe coding failures"
enterprise_vibe_coding_adoption,40,percent,"Andrej Karpathy 2025 estimate; widely cited 2026","Estimated share of enterprise feature work now generated via LLM-backed IDEs","Enterprise feature work"
gross_productivity_uplift_low,30,percent,"Industry benchmark range","Lower bound of productivity gain for mature governed teams","Developer throughput"
gross_productivity_uplift_high,90,percent,"Industry benchmark range","Upper bound of productivity gain for mature governed teams","Developer throughput"
pr_creation_spike,320,percent,"Vibe coding benchmark — initial PR creation","3.2x spike in initial pull request creation; vanity metric — measures creation speed not deployment speed","Pull request creation rate"
ungoverned_rework_rate,47,percent,"Empirical rework rate baseline (multiple industry sources)","Without governance, rework cost consumes ~47% of gross productivity gain","Ungoverned vibe coding shops"
governance_overhead_low,3,percent,"Enterprise programme benchmark","Lower bound of governance tooling + headcount as share of engineering budget","Engineering budget allocation"
governance_overhead_high,7,percent,"Enterprise programme benchmark","Upper bound of governance tooling + headcount as share of engineering budget","Engineering budget allocation"
tool_break_even_days,90,days,"Governed team benchmark","Days to break even on enterprise AI tool licence spend with strict review gates","Enterprise licence ROI"
audit_finding_reduction,73,percent,"Vibe coding governance framework benchmark","Implementing 5 CI/CD governance gates cuts compliance and security audit findings","Audit findings vs ungoverned baseline"
sprint_ai_rework_allocation_low,15,percent,"Agile team benchmark","Minimum sprint capacity to allocate for AI code refactoring","Sprint planning"
sprint_ai_rework_allocation_high,20,percent,"Agile team benchmark","Maximum sprint capacity to allocate for AI code refactoring","Sprint planning"
soc2_observation_window_low,3,months,"SOC 2 Type II standard","Minimum observation window for SOC 2 Type II evidence collection","SOC 2 Type II audit"
soc2_observation_window_high,12,months,"SOC 2 Type II standard","Maximum observation window for SOC 2 Type II evidence collection","SOC 2 Type II audit"
governance_record_retention_years,10,years,"EU AI Act Article 12 guidance","Typical retention requirement: operational life of system plus defined period","EU AI Act compliance"
stage3_scale_engineer_low,100,engineers,"5-stage maturity model","Lower bound of Stage 3 (Enterprise Rollout) — governance becomes a full-time function","Scaling maturity model"
stage3_scale_engineer_high,500,engineers,"5-stage maturity model","Upper bound of Stage 3 — where CTOs underestimate effort by a factor of 3","Scaling maturity model"
stage3_cto_effort_underestimate_factor,3,x,"Reported by governance practitioners","CTOs routinely underestimate Stage 3 governance effort by this factor","Stage 3 governance planning"
governance_transition_months_low,12,months,"Enterprise implementation benchmark","Lower bound: time to move from pilot to full enterprise integration (Stage 5)","Full enterprise rollout"
governance_transition_months_high,18,months,"Enterprise implementation benchmark","Upper bound: time to move from pilot to full enterprise integration (Stage 5)","Full enterprise rollout"
cursor_copilot_quality_audit_bug_reduction,40,percent,"6-gate quality pipeline benchmark","Implementing all 6 quality gates cuts AI-generated production bugs","Cursor/Copilot code quality"
quarterly_audit_cost_low,3,percent,"Quarterly audit programme benchmark","Lower bound of automated governance tooling + audit cost as share of engineering budget","Engineering budget"
quarterly_audit_cost_high,7,percent,"Quarterly audit programme benchmark","Upper bound of automated governance tooling + audit cost as share of engineering budget","Engineering budget"
board_productivity_discount_low,30,percent,"PMO/board presentation benchmark","Without governance maturity score, boards discount vibe coding productivity numbers by this floor","Board reporting"
board_productivity_discount_high,60,percent,"PMO/board presentation benchmark","Without governance maturity score, boards discount vibe coding productivity numbers by this ceiling","Board reporting"
iso42001_applicable_annex_a_controls,11,controls,"ISO/IEC 42001:2023","Of 38 total Annex A controls, 11 are directly applicable to vibe coding governance","ISO 42001 mapping"
owasp_llm_top10_enterprise_gaps,7,gaps,"OWASP LLM Top 10 applied to enterprise vibe coding","7 specific OWASP LLM vulnerabilities that standard NIST AI RMF and legacy SOC 2 controls miss","Security gap assessment"
ai_code_policy_clauses_required,11,clauses,"Big 4 auditor standard (May 2026)","Non-negotiable clauses required in an enterprise AI code security policy for audit survivability","Policy drafting"
dod_acceptance_gates_required,9,gates,"Vibe coding Scrum DoD standard","AI-specific acceptance gates required before a Scrum story can be marked Done","Agile governance"
